,,,,,,,,,,
"
Table F.
U.S. Bankruptcy Courts—Bankruptcy Cases Commenced, Terminated and Pending
During the 12-Month Periods Ending June 30, 2022 and 2023",,,,,,,,,,
"Circuit 
and 
District",Filed,,,Terminated,,,Pending,,,
,2022,2023,"Percent
Change ¹",2022,2023,"Percent
Change ¹",2022,2023,"Percent
Change ¹",
Total,"380,634","418,724",10.0,"492,439","453,121",-8.0,"694,287","660,128",-4.9,
DC,244,310,27.0,386,301,-22.0,419,432,3.1,
     1st,"9,357","9,721",3.9,"12,518","11,319",-9.6,"21,878","20,301",-7.2,
ME,564,563,-0.2,801,652,-18.6,860,771,-10.3,
MA,"3,394","3,576",5.4,"4,220","3,905",-7.5,"5,243","4,915",-6.3,
NH,652,712,9.2,989,773,-21.8,992,931,-6.1,
RI,858,831,-3.1,"1,048",918,-12.4,"1,016",929,-8.6,
PR,"3,889","4,039",3.9,"5,460","5,071",-7.1,"13,767","12,755",-7.4,
     2nd,"16,913","20,472",21.0,"20,693","20,281",-2.0,"21,133","21,332",0.9,
CT,"2,577","2,757",7.0,"2,996","2,730",-8.9,"2,724","2,752",1.0,
"NY,N","2,930","3,141",7.2,"3,767","3,308",-12.2,"4,722","4,558",-3.5,
"NY,E","5,773","8,514",47.5,"6,200","7,721",24.5,"5,006","5,804",15.9,
"NY,S","3,531","3,951",11.9,"5,069","4,062",-19.9,"4,919","4,807",-2.3,
"NY,W","1,883","1,905",1.2,"2,388","2,217",-7.2,"3,365","3,053",-9.3,
VT,219,204,-6.8,273,243,-11.0,397,358,-9.8,
     3rd,"21,187","23,240",9.7,"27,251","25,281",-7.2,"41,984","39,993",-4.7,
DE,"1,288","1,707",32.5,"2,466","1,605",-34.9,"4,179","4,282",2.5,
NJ,"10,307","10,992",6.6,"12,149","11,868",-2.3,"17,204","16,331",-5.1,
"PA,E","3,383","3,751",10.9,"4,489","4,323",-3.7,"7,932","7,372",-7.1,
"PA,M","2,547","2,898",13.8,"3,272","3,135",-4.2,"5,297","5,091",-3.9,
"PA,W","3,660","3,887",6.2,"4,869","4,345",-10.8,"7,350","6,895",-6.2,
VI,2,5,-,6,5,-,22,22,0.0,
     4th,"29,646","32,975",11.2,"40,428","38,204",-5.5,"68,426","63,127",-7.7,
MD,"7,541","8,470",12.3,"9,015","9,032",0.2,"12,367","11,705",-5.4,
"NC,E","2,917","3,466",18.8,"4,605","4,410",-4.2,"10,697","9,754",-8.8,
"NC,M","1,782","1,798",0.9,"2,708","2,493",-7.9,"5,969","5,298",-11.2,
"NC,W","1,422","1,571",10.5,"2,475","2,082",-15.9,"4,710","4,193",-11.0,
SC,"3,357","3,817",13.7,"4,498","4,636",3.1,"9,961","9,145",-8.2,
"VA,E","8,460","9,562",13.0,"11,499","10,605",-7.8,"16,862","15,823",-6.2,
"VA,W","2,658","2,900",9.1,"3,818","3,461",-9.4,"6,241","5,680",-9.0,
"WV,N",623,589,-5.5,724,594,-18.0,679,675,-0.6,
"WV,S",886,802,-9.5,"1,086",891,-18.0,940,854,-9.1,
     5th,"31,800","39,497",24.2,"42,745","40,854",-4.4,"72,300","70,930",-1.9,
"LA,E","1,382","1,965",42.2,"2,379","1,963",-17.5,"4,730","4,733",0.1,
"LA,M",652,813,24.7,941,786,-16.5,"1,327","1,359",2.4,
"LA,W","4,327","5,155",19.1,"6,265","5,893",-5.9,"14,465","13,715",-5.2,
"MS,N","2,796","3,938",40.8,"3,678","3,704",0.7,"7,883","8,117",3.0,
"MS,S","3,739","4,685",25.3,"4,783","4,958",3.7,"8,478","8,207",-3.2,
"TX,N","6,376","7,556",18.5,"8,249","8,107",-1.7,"10,184","9,633",-5.4,
"TX,E","3,234","3,852",19.1,"3,880","3,893",0.3,"6,589","6,543",-0.7,
"TX,S","5,111","6,860",34.2,"7,161","6,690",-6.6,"11,939","12,100",1.3,
"TX,W","4,183","4,673",11.7,"5,409","4,860",-10.1,"6,705","6,523",-2.7,
     6th,"58,889","66,393",12.7,"74,577","71,704",-3.9,"107,737","102,433",-4.9,
"KY,E","3,833","4,413",15.1,"5,038","4,575",-9.2,"7,317","7,156",-2.2,
"KY,W","4,531","5,230",15.4,"5,224","4,865",-6.9,"8,286","8,651",4.4,
"MI,E","13,286","15,032",13.1,"15,127","15,629",3.3,"19,952","19,355",-3.0,
"MI,W","2,745","2,950",7.5,"3,652","3,177",-13.0,"5,537","5,330",-3.7,
"OH,N","10,176","11,000",8.1,"12,714","11,593",-8.8,"12,873","12,290",-4.5,
