,,,,,,,,,
"
Table F.
U.S. Bankruptcy Courts—Bankruptcy Cases Commenced, Terminated and Pending
During the 12-Month Periods Ending June 30, 2023 and 2024",,,,,,,,,
"Circuit 
and 
District",Filed,,,Terminated,,,Pending,,
,2023,2024,"Percent
Change ¹",2023,2024,"Percent
Change ¹",2023,2024,"Percent
Change ¹"
Total,"418,724","486,613",16.2,"453,121","482,133",6.4,"660,128","664,647",0.7
DC,310,445,43.5,301,391,29.9,432,486,12.5
     1st,"9,721","11,824",21.6,"11,319","11,955",5.6,"20,301","20,177",-0.6
ME,563,541,-3.9,652,616,-5.5,771,696,-9.7
MA,"3,576","4,332",21.1,"3,905","4,281",9.6,"4,915","4,969",1.1
NH,712,832,16.9,773,853,10.3,931,910,-2.3
RI,831,825,-0.7,918,893,-2.7,929,863,-7.1
PR,"4,039","5,294",31.1,"5,071","5,312",4.8,"12,755","12,739",-0.1
     2nd,"20,472","24,002",17.2,"20,281","23,433",15.5,"21,332","21,906",2.7
CT,"2,757","3,167",14.9,"2,730","3,145",15.2,"2,752","2,776",0.9
"NY,N","3,141","3,565",13.5,"3,308","3,541",7.0,"4,558","4,582",0.5
"NY,E","8,514","10,373",21.8,"7,721","9,802",27.0,"5,804","6,376",9.9
"NY,S","3,951","4,547",15.1,"4,062","4,491",10.6,"4,807","4,865",1.2
"NY,W","1,905","2,123",11.4,"2,217","2,201",-0.7,"3,053","2,975",-2.6
VT,204,227,11.3,243,253,4.1,358,332,-7.3
     3rd,"23,240","27,736",19.3,"25,281","27,052",7.0,"39,993","40,700",1.8
DE,"1,707","2,760",61.7,"1,605","2,167",35.0,"4,282","4,876",13.9
NJ,"10,992","13,311",21.1,"11,868","12,889",8.6,"16,331","16,767",2.7
"PA,E","3,751","4,297",14.6,"4,323","4,586",6.1,"7,372","7,087",-3.9
"PA,M","2,898","3,131",8.0,"3,135","3,149",0.4,"5,091","5,074",-0.3
"PA,W","3,887","4,222",8.6,"4,345","4,257",-2.0,"6,895","6,863",-0.5
VI,5,15,-,5,4,-,22,33,50.0
     4th,"32,975","38,451",16.6,"38,204","39,304",2.9,"63,127","62,282",-1.3
MD,"8,470","10,516",24.2,"9,032","9,864",9.2,"11,705","12,359",5.6
"NC,E","3,466","4,157",19.9,"4,410","4,429",0.4,"9,754","9,483",-2.8
"NC,M","1,798","2,007",11.6,"2,493","2,530",1.5,"5,298","4,774",-9.9
"NC,W","1,571","2,040",29.9,"2,082","2,128",2.2,"4,193","4,105",-2.1
SC,"3,817","4,484",17.5,"4,636","4,731",2.0,"9,145","8,898",-2.7
"VA,E","9,562","10,695",11.8,"10,605","10,806",1.9,"15,823","15,712",-0.7
"VA,W","2,900","2,954",1.9,"3,461","3,285",-5.1,"5,680","5,349",-5.8
"WV,N",589,646,9.7,594,632,6.4,675,689,2.1
"WV,S",802,952,18.7,891,899,0.9,854,913,6.9
     5th,"39,497","46,239",17.1,"40,854","44,804",9.7,"70,930","72,309",1.9
"LA,E","1,965","2,441",24.2,"1,963","1,984",1.1,"4,733","5,190",9.7
"LA,M",813,"1,039",27.8,786,945,20.2,"1,359","1,452",6.8
"LA,W","5,155","5,498",6.7,"5,893","5,964",1.2,"13,715","13,247",-3.4
"MS,N","3,938","3,937",-0.0,"3,704","3,814",3.0,"8,117","8,240",1.5
"MS,S","4,685","4,748",1.3,"4,958","5,062",2.1,"8,207","7,894",-3.8
"TX,N","7,556","9,617",27.3,"8,107","9,215",13.7,"9,633","10,036",4.2
"TX,E","3,852","4,836",25.5,"3,893","4,291",10.2,"6,543","7,086",8.3
"TX,S","6,860","7,988",16.4,"6,690","7,570",13.2,"12,100","12,460",3.0
"TX,W","4,673","6,135",31.3,"4,860","5,959",22.6,"6,523","6,704",2.8
     6th,"66,393","73,031",10.0,"71,704","74,062",3.3,"102,433","101,411",-1.0
"KY,E","4,413","4,969",12.6,"4,575","4,925",7.7,"7,156","7,199",0.6
"KY,W","5,230","5,916",13.1,"4,865","5,369",10.4,"8,651","9,198",6.3
"MI,E","15,032","16,390",9.0,"15,629","16,297",4.3,"19,355","19,450",0.5
"MI,W","2,950","3,393",15.0,"3,177","3,273",3.0,"5,330","5,451",2.3
"OH,N","11,000","12,420",12.9,"11,593","12,479",7.6,"12,290","12,233",-0.5
"OH,S","8,606","10,264",19.3,"9,840","10,511",6.8,"13,924","13,678",-1.8
"TN,E","6,545","6,744",3.0,"8,045","7,045",-12.4,"11,717","11,417",-2.6
"TN,M","4,531","4,924",8.7,"5,454","5,327",-2.3,"9,057","8,655",-4.4
"TN,W","8,086","8,011",-0.9,"8,526","8,836",3.6,"14,953","14,130",-5.5
     7th,"44,335","49,330",11.3,"49,124","49,639",1.0,"68,818","68,515",-0.4
"IL,N","18,269","20,484",12.1,"20,378","21,189",4.0,"26,479","25,779",-2.6
"IL,C","2,419","2,610",7.9,"2,587","2,805",8.4,"3,294","3,099",-5.9
"IL,S","1,666","1,645",-1.3,"1,853","1,902",2.6,"3,053","2,797",-8.4
"IN,N","5,551","6,170",11.2,"5,676","5,672",-0.1,"8,994","9,489",5.5
"IN,S","8,384","9,270",10.6,"9,242","9,031",-2.3,"14,909","15,152",1.6
"WI,E","5,913","6,581",11.3,"7,053","6,637",-5.9,"9,328","9,271",-0.6
"WI,W","2,133","2,570",20.5,"2,335","2,403",2.9,"2,761","2,928",6.0
     8th,"26,996","30,450",12.8,"28,213","30,041",6.5,"44,327","44,741",0.9
AR ²,"5,947","6,563",10.4,"6,336","6,880",8.6,"12,683","12,367",-2.5
"IA,N","1,007","1,186",17.8,932,"1,190",27.7,816,814,-0.2
"IA,S","1,561","1,815",16.3,"1,563","1,745",11.6,"1,370","1,444",5.4
MN,"6,131","7,797",27.2,"6,071","6,579",8.4,"8,203","9,421",14.8
"MO,E","5,302","5,572",5.1,"5,670","5,867",3.5,"8,095","7,799",-3.7
"MO,W","3,856","3,926",1.8,"4,185","4,182",-0.1,"8,240","7,983",-3.1
NE,"2,200","2,389",8.6,"2,511","2,546",1.4,"3,654","3,497",-4.3
ND,438,539,23.1,405,494,22.0,469,514,9.6
SD,554,663,19.7,540,558,3.3,797,902,13.2
     9th,"62,769","79,764",27.1,"67,187","76,653",14.1,"67,602","70,730",4.6
AK,220,208,-5.5,229,214,-6.6,206,200,-2.9
AZ,"8,989","10,426",16.0,"10,273","10,118",-1.5,"11,513","11,821",2.7
"CA,N","4,378","5,431",24.1,"5,002","5,579",11.5,"6,961","6,813",-2.1
"CA,E","7,226","9,592",32.7,"7,595","8,942",17.7,"7,321","7,973",8.9
"CA,C","18,541","23,624",27.4,"18,939","22,754",20.1,"15,294","16,173",5.7
"CA,S","3,620","4,771",31.8,"3,806","4,736",24.4,"3,231","3,266",1.1
HI,"1,012","1,148",13.4,"1,061","1,165",9.8,"1,641","1,624",-1.0
ID,"1,603","1,894",18.2,"1,690","1,706",0.9,"1,545","1,732",12.1
MT,624,712,14.1,721,739,2.5,923,896,-2.9
NV,"5,978","7,717",29.1,"5,935","7,308",23.1,"5,091","5,501",8.1
OR,"4,877","6,473",32.7,"5,154","5,916",14.8,"6,286","6,846",8.9
"WA,E","1,415","1,974",39.5,"1,677","1,902",13.4,"1,881","1,953",3.8
"WA,W","4,264","5,777",35.5,"5,037","5,549",10.2,"5,654","5,885",4.1
GU,21,17,-19.0,68,25,-63.2,49,41,-16.3
NMI,1,0,-,0,0,-,6,6,-
     10th,"21,683","25,151",16.0,"23,712","25,220",6.4,"32,383","32,315",-0.2
CO,"5,698","6,934",21.7,"6,059","6,540",7.9,"8,028","8,423",4.9
KS,"3,425","3,697",7.9,"4,020","4,334",7.8,"8,893","8,255",-7.2
NM,"1,019","1,361",33.6,"1,234","1,360",10.2,"1,057","1,058",0.1
"OK,N","1,398","1,608",15.0,"1,384","1,494",7.9,"1,006","1,121",11.4
"OK,E",855,"1,001",17.1,752,934,24.2,741,808,9.0
"OK,W","3,424","3,611",5.5,"3,349","3,619",8.1,"4,263","4,255",-0.2
UT,"5,424","6,446",18.8,"6,436","6,461",0.4,"7,932","7,917",-0.2
WY,440,493,12.0,478,478,0.0,463,478,3.2
     11th,"70,333","80,190",14.0,"76,941","79,579",3.4,"128,450","129,075",0.5
"AL,N","8,704","9,493",9.1,"9,446","9,212",-2.5,"17,584","17,865",1.6
"AL,M","5,571","5,600",0.5,"6,350","5,976",-5.9,"15,394","15,016",-2.5
"AL,S","3,186","3,500",9.9,"3,704","3,729",0.7,"9,206","8,980",-2.5
"FL,N","1,709","1,953",14.3,"1,635","1,788",9.4,"1,952","2,118",8.5
"FL,M","14,597","18,471",26.5,"15,439","16,669",8.0,"17,980","19,787",10.1
"FL,S","10,388","12,509",20.4,"11,715","12,062",3.0,"20,487","20,934",2.2
"GA,N","16,865","18,825",11.6,"17,770","19,762",11.2,"22,269","21,337",-4.2
"GA,M","5,514","5,954",8.0,"6,111","5,972",-2.3,"12,498","12,483",-0.1
"GA,S","3,799","3,885",2.3,"4,771","4,409",-7.6,"11,080","10,555",-4.7
"
NOTE: The United States territorial courts assume the jurisdiction of United States bankruptcy courts within their respective territories, which do not have separate bankruptcy courts.
¹ Percent change not computed when fewer than 10 cases reported for the previous period.
² The United States Bankruptcy Court for Arkansas (AR) includes both the Eastern and Western Districts of Arkansas.",,,,,,,,,
